scope,quantity,value,unit,basis,note,status
mode_solve_400nm,amplitude_decay_length,624,nm,1/q from the same solve,"the amplitude convention. The intensity length is half of it, and conflating the two is a factor of two in every guided intensity",CALIB
mode_solve_400nm,amplitude_decay_length_err,95,nm,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_400nm,intensity_decay_length,312,nm,1/(2q),"the convention a two-photon coupling needs, since the coupling follows I",CALIB
mode_solve_400nm,intensity_decay_length_err,47,nm,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_400nm,qa,0.321,dimensionless,q times the fibre radius,"the number that decides whether the approximation is available. K1(x) reduces to its exponential asymptote only for x much greater than one, so at 0.18 to 0.32 the exponential form is unavailable anywhere the atoms are",CALIB
mode_solve_400nm,qa_err,0.064,dimensionless,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_400nm,mode_area_azimuthal_mean,0.615,um^2,P over the azimuthally averaged axial flux at the surface,"the convention is part of the number. The peak convention gives a SMALLER area, since a peak intensity is larger",CALIB
mode_solve_400nm,mode_area_azimuthal_mean_err,0.040,um^2,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_400nm,mode_area_peak,0.489,um^2,"P over the peak axial flux, on the polarisation axis","quoted beside the mean so no reader takes either as the mode area without its convention. This row read 0.824 for one day, larger than the mean, which a peak cannot be",CALIB
mode_solve_400nm,mode_area_peak_err,0.027,um^2,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
mode_solve_400nm,power_fraction_in_glass,0.231,fraction,Poynting integral inside r<a,"a shell approximation that ignores this fraction overstates the effective area, which is how a committed 1.98 um^2 arose",CALIB
mode_solve_400nm,power_fraction_in_glass_err,0.051,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
evanescent_profile_370nm_at_100nm,flux_fraction,0.580,fraction,"validated vector field, 370nm fibre","axial Poynting flux at this distance from the surface, relative to the surface. This is the power-budget quantity",DIAGNOSTIC
evanescent_profile_370nm_at_100nm,flux_fraction_err,0.025,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_100nm,stark_fraction,0.510,fraction,"|E|^2 azimuthally averaged, 370nm fibre","what a light shift scales with. It is not the axial flux, because E_z carries no axial flux, and the two differ by about 18 per cent at the trap distance",DIAGNOSTIC
evanescent_profile_370nm_at_100nm,stark_fraction_err,0.020,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_100nm,stark_fraction_on_axis,0.435,fraction,"|E|^2 on the polarisation axis, 370nm fibre","the same quantity where the field is strongest. A two-colour trap holds atoms at particular azimuths and not uniformly around the fibre, and this record does not state which, so the pair is the span rather than the averaged row alone. The TENSOR term vanishes, both states having J = 1/2 by the Wigner-Eckart triangle rule, but the VECTOR term does not, and a guided mode is strongly elliptically polarised near the surface. So the azimuth is not purely a magnitude question and this pair is a lower bound on how much it matters. This note claimed only |E|^2 matters until 2026-08-28, which followed the tensor premise to a conclusion it does not support",DIAGNOSTIC
evanescent_profile_370nm_at_100nm,stark_fraction_on_axis_err,0.011,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_100nm,flux_fraction_exponential,0.779,fraction,exp(-d/Lambda_intensity),"the form the record used before the fields were solved, carried so the size of that error is a row and not a memory",ARTIFACT
evanescent_profile_370nm_at_100nm,flux_fraction_exponential_err,0.036,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_100nm,exponential_overstatement,1.34,factor,the ratio of the two above,"how much the exponential overstates the delivered intensity. It grows with distance, so a single quoted factor is wrong",DIAGNOSTIC
evanescent_profile_370nm_at_100nm,exponential_overstatement_err,0.01,factor,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_200nm,flux_fraction,0.360,fraction,"validated vector field, 370nm fibre","axial Poynting flux at this distance from the surface, relative to the surface. This is the power-budget quantity",DIAGNOSTIC
evanescent_profile_370nm_at_200nm,flux_fraction_err,0.032,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_200nm,stark_fraction,0.304,fraction,"|E|^2 azimuthally averaged, 370nm fibre","what a light shift scales with. It is not the axial flux, because E_z carries no axial flux, and the two differ by about 18 per cent at the trap distance",DIAGNOSTIC
evanescent_profile_370nm_at_200nm,stark_fraction_err,0.027,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_200nm,stark_fraction_on_axis,0.238,fraction,"|E|^2 on the polarisation axis, 370nm fibre","the same quantity where the field is strongest. A two-colour trap holds atoms at particular azimuths and not uniformly around the fibre, and this record does not state which, so the pair is the span rather than the averaged row alone. The TENSOR term vanishes, both states having J = 1/2 by the Wigner-Eckart triangle rule, but the VECTOR term does not, and a guided mode is strongly elliptically polarised near the surface. So the azimuth is not purely a magnitude question and this pair is a lower bound on how much it matters. This note claimed only |E|^2 matters until 2026-08-28, which followed the tensor premise to a conclusion it does not support",DIAGNOSTIC
evanescent_profile_370nm_at_200nm,stark_fraction_on_axis_err,0.016,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_200nm,flux_fraction_exponential,0.607,fraction,exp(-d/Lambda_intensity),"the form the record used before the fields were solved, carried so the size of that error is a row and not a memory",ARTIFACT
evanescent_profile_370nm_at_200nm,flux_fraction_exponential_err,0.057,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_200nm,exponential_overstatement,1.68,factor,the ratio of the two above,"how much the exponential overstates the delivered intensity. It grows with distance, so a single quoted factor is wrong",DIAGNOSTIC
evanescent_profile_370nm_at_200nm,exponential_overstatement_err,0.01,factor,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_400nm,flux_fraction,0.156,fraction,"validated vector field, 370nm fibre","axial Poynting flux at this distance from the surface, relative to the surface. This is the power-budget quantity",DIAGNOSTIC
evanescent_profile_370nm_at_400nm,flux_fraction_err,0.029,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_400nm,stark_fraction,0.128,fraction,"|E|^2 azimuthally averaged, 370nm fibre","what a light shift scales with. It is not the axial flux, because E_z carries no axial flux, and the two differ by about 18 per cent at the trap distance",DIAGNOSTIC
evanescent_profile_370nm_at_400nm,stark_fraction_err,0.024,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_400nm,stark_fraction_on_axis,0.093,fraction,"|E|^2 on the polarisation axis, 370nm fibre","the same quantity where the field is strongest. A two-colour trap holds atoms at particular azimuths and not uniformly around the fibre, and this record does not state which, so the pair is the span rather than the averaged row alone. The TENSOR term vanishes, both states having J = 1/2 by the Wigner-Eckart triangle rule, but the VECTOR term does not, and a guided mode is strongly elliptically polarised near the surface. So the azimuth is not purely a magnitude question and this pair is a lower bound on how much it matters. This note claimed only |E|^2 matters until 2026-08-28, which followed the tensor premise to a conclusion it does not support",DIAGNOSTIC
evanescent_profile_370nm_at_400nm,stark_fraction_on_axis_err,0.015,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_400nm,flux_fraction_exponential,0.369,fraction,exp(-d/Lambda_intensity),"the form the record used before the fields were solved, carried so the size of that error is a row and not a memory",ARTIFACT
evanescent_profile_370nm_at_400nm,flux_fraction_exponential_err,0.069,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_400nm,exponential_overstatement,2.36,factor,the ratio of the two above,"how much the exponential overstates the delivered intensity. It grows with distance, so a single quoted factor is wrong",DIAGNOSTIC
evanescent_profile_370nm_at_400nm,exponential_overstatement_err,0.01,factor,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_600nm,flux_fraction,0.074,fraction,"validated vector field, 370nm fibre","axial Poynting flux at this distance from the surface, relative to the surface. This is the power-budget quantity",DIAGNOSTIC
evanescent_profile_370nm_at_600nm,flux_fraction_err,0.021,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_600nm,stark_fraction,0.060,fraction,"|E|^2 azimuthally averaged, 370nm fibre","what a light shift scales with. It is not the axial flux, because E_z carries no axial flux, and the two differ by about 18 per cent at the trap distance",DIAGNOSTIC
evanescent_profile_370nm_at_600nm,stark_fraction_err,0.017,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_600nm,stark_fraction_on_axis,0.042,fraction,"|E|^2 on the polarisation axis, 370nm fibre","the same quantity where the field is strongest. A two-colour trap holds atoms at particular azimuths and not uniformly around the fibre, and this record does not state which, so the pair is the span rather than the averaged row alone. The TENSOR term vanishes, both states having J = 1/2 by the Wigner-Eckart triangle rule, but the VECTOR term does not, and a guided mode is strongly elliptically polarised near the surface. So the azimuth is not purely a magnitude question and this pair is a lower bound on how much it matters. This note claimed only |E|^2 matters until 2026-08-28, which followed the tensor premise to a conclusion it does not support",DIAGNOSTIC
evanescent_profile_370nm_at_600nm,stark_fraction_on_axis_err,0.011,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_600nm,flux_fraction_exponential,0.224,fraction,exp(-d/Lambda_intensity),"the form the record used before the fields were solved, carried so the size of that error is a row and not a memory",ARTIFACT
evanescent_profile_370nm_at_600nm,flux_fraction_exponential_err,0.063,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_370nm_at_600nm,exponential_overstatement,3.02,factor,the ratio of the two above,"how much the exponential overstates the delivered intensity. It grows with distance, so a single quoted factor is wrong",DIAGNOSTIC
evanescent_profile_370nm_at_600nm,exponential_overstatement_err,0.01,factor,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_100nm,flux_fraction,0.545,fraction,"validated vector field, 400nm fibre","axial Poynting flux at this distance from the surface, relative to the surface. This is the power-budget quantity",DIAGNOSTIC
evanescent_profile_400nm_at_100nm,flux_fraction_err,0.023,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_100nm,stark_fraction,0.481,fraction,"|E|^2 azimuthally averaged, 400nm fibre","what a light shift scales with. It is not the axial flux, because E_z carries no axial flux, and the two differ by about 18 per cent at the trap distance",DIAGNOSTIC
evanescent_profile_400nm_at_100nm,stark_fraction_err,0.018,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_100nm,stark_fraction_on_axis,0.419,fraction,"|E|^2 on the polarisation axis, 400nm fibre","the same quantity where the field is strongest. A two-colour trap holds atoms at particular azimuths and not uniformly around the fibre, and this record does not state which, so the pair is the span rather than the averaged row alone. The TENSOR term vanishes, both states having J = 1/2 by the Wigner-Eckart triangle rule, but the VECTOR term does not, and a guided mode is strongly elliptically polarised near the surface. So the azimuth is not purely a magnitude question and this pair is a lower bound on how much it matters. This note claimed only |E|^2 matters until 2026-08-28, which followed the tensor premise to a conclusion it does not support",DIAGNOSTIC
evanescent_profile_400nm_at_100nm,stark_fraction_on_axis_err,0.011,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_100nm,flux_fraction_exponential,0.726,fraction,exp(-d/Lambda_intensity),"the form the record used before the fields were solved, carried so the size of that error is a row and not a memory",ARTIFACT
evanescent_profile_400nm_at_100nm,flux_fraction_exponential_err,0.035,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_100nm,exponential_overstatement,1.33,factor,the ratio of the two above,"how much the exponential overstates the delivered intensity. It grows with distance, so a single quoted factor is wrong",DIAGNOSTIC
evanescent_profile_400nm_at_100nm,exponential_overstatement_err,0.01,factor,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_200nm,flux_fraction,0.316,fraction,"validated vector field, 400nm fibre","axial Poynting flux at this distance from the surface, relative to the surface. This is the power-budget quantity",DIAGNOSTIC
evanescent_profile_400nm_at_200nm,flux_fraction_err,0.028,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_200nm,stark_fraction,0.267,fraction,"|E|^2 azimuthally averaged, 400nm fibre","what a light shift scales with. It is not the axial flux, because E_z carries no axial flux, and the two differ by about 18 per cent at the trap distance",DIAGNOSTIC
evanescent_profile_400nm_at_200nm,stark_fraction_err,0.023,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_200nm,stark_fraction_on_axis,0.215,fraction,"|E|^2 on the polarisation axis, 400nm fibre","the same quantity where the field is strongest. A two-colour trap holds atoms at particular azimuths and not uniformly around the fibre, and this record does not state which, so the pair is the span rather than the averaged row alone. The TENSOR term vanishes, both states having J = 1/2 by the Wigner-Eckart triangle rule, but the VECTOR term does not, and a guided mode is strongly elliptically polarised near the surface. So the azimuth is not purely a magnitude question and this pair is a lower bound on how much it matters. This note claimed only |E|^2 matters until 2026-08-28, which followed the tensor premise to a conclusion it does not support",DIAGNOSTIC
evanescent_profile_400nm_at_200nm,stark_fraction_on_axis_err,0.014,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_200nm,flux_fraction_exponential,0.527,fraction,exp(-d/Lambda_intensity),"the form the record used before the fields were solved, carried so the size of that error is a row and not a memory",ARTIFACT
evanescent_profile_400nm_at_200nm,flux_fraction_exponential_err,0.050,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_200nm,exponential_overstatement,1.67,factor,the ratio of the two above,"how much the exponential overstates the delivered intensity. It grows with distance, so a single quoted factor is wrong",DIAGNOSTIC
evanescent_profile_400nm_at_200nm,exponential_overstatement_err,0.01,factor,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_400nm,flux_fraction,0.119,fraction,"validated vector field, 400nm fibre","axial Poynting flux at this distance from the surface, relative to the surface. This is the power-budget quantity",DIAGNOSTIC
evanescent_profile_400nm_at_400nm,flux_fraction_err,0.022,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_400nm,stark_fraction,0.097,fraction,"|E|^2 azimuthally averaged, 400nm fibre","what a light shift scales with. It is not the axial flux, because E_z carries no axial flux, and the two differ by about 18 per cent at the trap distance",DIAGNOSTIC
evanescent_profile_400nm_at_400nm,stark_fraction_err,0.018,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_400nm,stark_fraction_on_axis,0.072,fraction,"|E|^2 on the polarisation axis, 400nm fibre","the same quantity where the field is strongest. A two-colour trap holds atoms at particular azimuths and not uniformly around the fibre, and this record does not state which, so the pair is the span rather than the averaged row alone. The TENSOR term vanishes, both states having J = 1/2 by the Wigner-Eckart triangle rule, but the VECTOR term does not, and a guided mode is strongly elliptically polarised near the surface. So the azimuth is not purely a magnitude question and this pair is a lower bound on how much it matters. This note claimed only |E|^2 matters until 2026-08-28, which followed the tensor premise to a conclusion it does not support",DIAGNOSTIC
evanescent_profile_400nm_at_400nm,stark_fraction_on_axis_err,0.012,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_400nm,flux_fraction_exponential,0.277,fraction,exp(-d/Lambda_intensity),"the form the record used before the fields were solved, carried so the size of that error is a row and not a memory",ARTIFACT
evanescent_profile_400nm_at_400nm,flux_fraction_exponential_err,0.053,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_400nm,exponential_overstatement,2.33,factor,the ratio of the two above,"how much the exponential overstates the delivered intensity. It grows with distance, so a single quoted factor is wrong",DIAGNOSTIC
evanescent_profile_400nm_at_400nm,exponential_overstatement_err,0.02,factor,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_600nm,flux_fraction,0.049,fraction,"validated vector field, 400nm fibre","axial Poynting flux at this distance from the surface, relative to the surface. This is the power-budget quantity",DIAGNOSTIC
evanescent_profile_400nm_at_600nm,flux_fraction_err,0.014,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_600nm,stark_fraction,0.039,fraction,"|E|^2 azimuthally averaged, 400nm fibre","what a light shift scales with. It is not the axial flux, because E_z carries no axial flux, and the two differ by about 18 per cent at the trap distance",DIAGNOSTIC
evanescent_profile_400nm_at_600nm,stark_fraction_err,0.011,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_600nm,stark_fraction_on_axis,0.028,fraction,"|E|^2 on the polarisation axis, 400nm fibre","the same quantity where the field is strongest. A two-colour trap holds atoms at particular azimuths and not uniformly around the fibre, and this record does not state which, so the pair is the span rather than the averaged row alone. The TENSOR term vanishes, both states having J = 1/2 by the Wigner-Eckart triangle rule, but the VECTOR term does not, and a guided mode is strongly elliptically polarised near the surface. So the azimuth is not purely a magnitude question and this pair is a lower bound on how much it matters. This note claimed only |E|^2 matters until 2026-08-28, which followed the tensor premise to a conclusion it does not support",DIAGNOSTIC
evanescent_profile_400nm_at_600nm,stark_fraction_on_axis_err,0.007,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_600nm,flux_fraction_exponential,0.146,fraction,exp(-d/Lambda_intensity),"the form the record used before the fields were solved, carried so the size of that error is a row and not a memory",ARTIFACT
evanescent_profile_400nm_at_600nm,flux_fraction_exponential_err,0.042,fraction,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
evanescent_profile_400nm_at_600nm,exponential_overstatement,2.99,factor,the ratio of the two above,"how much the exponential overstates the delivered intensity. It grows with distance, so a single quoted factor is wrong",DIAGNOSTIC
evanescent_profile_400nm_at_600nm,exponential_overstatement_err,0.03,factor,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",DIAGNOSTIC
transit_kernel_amplitude_lorentzian,fwhm,151.8,kHz,"factor 1.0 times v_mean/(pi Lambda), transition axis","amplitude_lorentzian is the retired form and reads the transform of the coupling as the lineshape. A lineshape is the squared magnitude of that transform, which narrows it by sqrt(sqrt(2)-1), and the Maxwell average narrows it further because slow atoms interact longer",ARTIFACT
transit_kernel_amplitude_lorentzian,fwhm_err,28.5,kHz,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",ARTIFACT
