case,quantity,value,unit,basis,note,status
w64um,pull_grid_movement,0.004,per cent,the same for the centroid pull,"the pull converges three orders faster than the cumulant, which is why it is quotable at every waist and the cumulant is not",DIAGNOSTIC
w64um,centroid_pull_error_err,0.004,per cent,"the pull's grid movement, which bounds the comparison above","the difference between two models is only as sharp as either is converged, and the pull converges three orders faster than the cumulant",ENVELOPE
w64um,k3_error_err,9.72,per cent,half-span of the same ratio with the companion scaled three ways,the grid movement is carried separately and is the smaller axis. Blank where the comparison is refused,ENVELOPE
w64um,k3_exact,-0.00159799,MHz^3,"windowed third cumulant at a 6.0 MHz half-width, exact mixture",the novelty channel's own observable,CALIB
w64um,k3_fixed_kernel,0.000110434,MHz^3,the same under the fixed kernel,the approximation,CALIB
w64um,k3_error,106.911,per cent,the fixed kernel against the exact mixture,what the convolution assumption costs the moment channel,ENVELOPE
w40um,on_axis_shift_err,0.1025,MHz,"the waist band paired with the retro-ratio error, the record's convention","the shift goes as the inverse waist squared and as one plus the retro ratio, so the widest credible interval pairs the tight waist with the high ratio",ENVELOPE
w40um,homogeneous_width_span_err,0.149,dimensionless,the span re-evaluated with the saturation companion scaled by three each way,"the companion rests on the two-level saturation law with a two-photon Rabi frequency, which the record carries as standard practice and not as a derivation for this level structure, so its magnitude is the span's uncertainty. The STRUCTURE does not depend on it: whatever the size, it is a function of the local shift",ENVELOPE
w40um,transit_span_err,0.193,dimensionless,the span re-evaluated over the collected window's own 0.26 +- 0.14 band,"the window is 54 per cent uncertain and the span follows it directly, since the beam radius at the window EDGE is what sets the narrowest kernel and so the denominator of this ratio",ENVELOPE
w40um,on_axis_shift,0.9321,MHz,stark_shift_S0_mhz at 225 mW and the adopted retro ratio,"the ramp's upper end, and the companion's argument on axis",CALIB
w40um,homogeneous_width_span,1.112,dimensionless,the homogeneous Lorentzian on axis over the same at the beam edge,"the saturation companion is keyed on the LOCAL shift, so the homogeneous width is a function of the ramp's own variable and the two cannot be separated into a kernel and a distribution",CALIB
w40um,transit_span,1.202,dimensionless,the transit width AT THE WAIST over the same at the window edge,"transit_fwhm_from_w0 goes as one over the local beam radius, so the kernel is WIDEST where the beam is narrowest, at the waist. The first draft of this row said the opposite in both its basis and its error note, which inverted the mechanism the producer rests on: the broad elements are the shifted ones, and they are the same elements for both kernels",CALIB
w40um,centroid_pull_exact_err,0.00002,MHz,the pull's movement between the full grid and half of it,"a model output's uncertainty here is numerical, and the grid is what bounds it",ENVELOPE
w40um,centroid_pull_fixed_kernel_err,0.00002,MHz,"the same grid movement, which bounds both models equally",the two differ only in the kernel and share the grid,ENVELOPE
w40um,k3_exact_err,0.0196736,MHz^3,half-span with the saturation companion scaled by three each way,the dominant axis by three orders over the grid. The k3_grid_movement row carries that separately,ENVELOPE
w40um,k3_fixed_kernel_err,1.84023e-05,MHz^3,the fixed row's own axial-grid movement,"its own, not the exact row's copied across. The first draft copied one number to both and it exceeded the fixed row's real movement by a factor of seventeen",ENVELOPE
w40um,centroid_pull_exact,-0.54812,MHz,first moment of the element-by-element mixture,every element carries its own kernel,CALIB
w40um,centroid_pull_fixed_kernel,-0.54812,MHz,first moment with the kernel held at the weighted mean,the approximation the shipped mixture makes,CALIB
w40um,centroid_pull_error,0.000,per cent,the fixed kernel against the exact mixture,"what the convolution assumption costs the centroid, which is not the channel the campaign reads: see fitted_centre_error",ENVELOPE
w40um,fitted_centre_exact,-0.53814,MHz,fit_condition with s0 zero on the element-by-element mixture,"the estimator run_three_channel_forecast inverts, and not the first moment",CALIB
w40um,fitted_centre_fixed_kernel,-0.54840,MHz,the same estimator on the fixed-kernel mixture,the two differ only in the kernel,CALIB
w40um,fitted_centre_error,-1.906,per cent,"the fixed kernel against the exact mixture, through the fitter","the centroid's immunity does not transfer. The first moment of a mixture of symmetric kernels is the density's own mean, exactly, so centroid_pull_error is zero at every waist. A least-squares fit with one width follows the mode, which the narrow unshifted elements set, and the broad elements are the shifted ones",ENVELOPE
w40um,fitted_centre_error_err,0.004,per cent,"the exact row's own grid movement, which bounds this comparison",the two profiles share the grid and differ only in the kernel,ENVELOPE
w40um,fitted_centre_exact_err,0.00002,MHz,the grid movement that bounds every row of this construction,a model output's uncertainty here is numerical,ENVELOPE
w40um,fitted_centre_fixed_kernel_err,0.00002,MHz,"the same grid movement, which bounds both models equally",the two differ only in the kernel and share the grid,ENVELOPE
w40um,k3_error_forecast_kernel,103.320,per cent,the forecast's own single kernel against the exact mixture,"the companion at the on-axis shift and the transit at the waist, as rb5s6s/forecast.py composes them, so this row and not the mean-shift one is what the campaign surfaces cite",ENVELOPE
w40um,k3_error_forecast_kernel_err,1.10,per cent,"the exact row's own grid movement, which bounds this comparison",the two share the grid and differ only in the kernel,ENVELOPE
w40um,k3_grid_movement_fixed,2.44,per cent,"the same bar applied to the fixed-kernel row, halving the axial axis","the bar binds both rows, since the comparison between them is only as converged as the looser of the two",DIAGNOSTIC
w40um,k3_grid_movement,1.10,per cent,the worst of halving the shift axis and the axial axis separately,"the bar is five per cent. Above it the row reports this construction's numerical floor and not the physics, which is the case wherever the ramp's own third cumulant is small",DIAGNOSTIC
w40um,pull_grid_movement,0.004,per cent,the same for the centroid pull,"the pull converges three orders faster than the cumulant, which is why it is quotable at every waist and the cumulant is not",DIAGNOSTIC
w40um,centroid_pull_error_err,0.004,per cent,"the pull's grid movement, which bounds the comparison above","the difference between two models is only as sharp as either is converged, and the pull converges three orders faster than the cumulant",ENVELOPE
w40um,k3_error_err,2.51,per cent,half-span of the same ratio with the companion scaled three ways,the grid movement is carried separately and is the smaller axis. Blank where the comparison is refused,ENVELOPE
w40um,k3_exact,-0.0225645,MHz^3,"windowed third cumulant at a 6.0 MHz half-width, exact mixture",the novelty channel's own observable,CALIB
w40um,k3_fixed_kernel,0.000753059,MHz^3,the same under the fixed kernel,the approximation,CALIB
w40um,k3_error,103.337,per cent,the fixed kernel against the exact mixture,what the convolution assumption costs the moment channel,ENVELOPE
w24um,on_axis_shift_err,0.2848,MHz,"the waist band paired with the retro-ratio error, the record's convention","the shift goes as the inverse waist squared and as one plus the retro ratio, so the widest credible interval pairs the tight waist with the high ratio",ENVELOPE
w24um,homogeneous_width_span_err,0.917,dimensionless,the span re-evaluated with the saturation companion scaled by three each way,"the companion rests on the two-level saturation law with a two-photon Rabi frequency, which the record carries as standard practice and not as a derivation for this level structure, so its magnitude is the span's uncertainty. The STRUCTURE does not depend on it: whatever the size, it is a function of the local shift",ENVELOPE
w24um,transit_span_err,0.851,dimensionless,the span re-evaluated over the collected window's own 0.26 +- 0.14 band,"the window is 54 per cent uncertain and the span follows it directly, since the beam radius at the window EDGE is what sets the narrowest kernel and so the denominator of this ratio",ENVELOPE
w24um,on_axis_shift,2.5891,MHz,stark_shift_S0_mhz at 225 mW and the adopted retro ratio,"the ramp's upper end, and the companion's argument on axis",CALIB
w24um,homogeneous_width_span,1.687,dimensionless,the homogeneous Lorentzian on axis over the same at the beam edge,"the saturation companion is keyed on the LOCAL shift, so the homogeneous width is a function of the ramp's own variable and the two cannot be separated into a kernel and a distribution",CALIB
w24um,transit_span,2.105,dimensionless,the transit width AT THE WAIST over the same at the window edge,"transit_fwhm_from_w0 goes as one over the local beam radius, so the kernel is WIDEST where the beam is narrowest, at the waist. The first draft of this row said the opposite in both its basis and its error note, which inverted the mechanism the producer rests on: the broad elements are the shifted ones, and they are the same elements for both kernels",CALIB
w24um,centroid_pull_exact_err,0.00004,MHz,the pull's movement between the full grid and half of it,"a model output's uncertainty here is numerical, and the grid is what bounds it",ENVELOPE
w24um,centroid_pull_fixed_kernel_err,0.00004,MHz,"the same grid movement, which bounds both models equally",the two differ only in the kernel and share the grid,ENVELOPE
w24um,k3_exact_err,0.205583,MHz^3,half-span with the saturation companion scaled by three each way,the dominant axis by three orders over the grid. The k3_grid_movement row carries that separately,ENVELOPE
w24um,k3_fixed_kernel_err,0.000524299,MHz^3,the fixed row's own axial-grid movement,"its own, not the exact row's copied across. The first draft copied one number to both and it exceeded the fixed row's real movement by a factor of seventeen",ENVELOPE
w24um,centroid_pull_exact,-1.11635,MHz,first moment of the element-by-element mixture,every element carries its own kernel,CALIB
w24um,centroid_pull_fixed_kernel,-1.11635,MHz,first moment with the kernel held at the weighted mean,the approximation the shipped mixture makes,CALIB
w24um,centroid_pull_error,0.000,per cent,the fixed kernel against the exact mixture,"what the convolution assumption costs the centroid, which is not the channel the campaign reads: see fitted_centre_error",ENVELOPE
w24um,fitted_centre_exact,-0.94725,MHz,fit_condition with s0 zero on the element-by-element mixture,"the estimator run_three_channel_forecast inverts, and not the first moment",CALIB
w24um,fitted_centre_fixed_kernel,-1.11063,MHz,the same estimator on the fixed-kernel mixture,the two differ only in the kernel,CALIB
w24um,fitted_centre_error,-17.247,per cent,"the fixed kernel against the exact mixture, through the fitter","the centroid's immunity does not transfer. The first moment of a mixture of symmetric kernels is the density's own mean, exactly, so centroid_pull_error is zero at every waist. A least-squares fit with one width follows the mode, which the narrow unshifted elements set, and the broad elements are the shifted ones",ENVELOPE
w24um,fitted_centre_error_err,0.003,per cent,"the exact row's own grid movement, which bounds this comparison",the two profiles share the grid and differ only in the kernel,ENVELOPE
w24um,fitted_centre_exact_err,0.00004,MHz,the grid movement that bounds every row of this construction,a model output's uncertainty here is numerical,ENVELOPE
w24um,fitted_centre_fixed_kernel_err,0.00004,MHz,"the same grid movement, which bounds both models equally",the two differ only in the kernel and share the grid,ENVELOPE
w24um,k3_error_forecast_kernel,97.050,per cent,the forecast's own single kernel against the exact mixture,"the companion at the on-axis shift and the transit at the waist, as rb5s6s/forecast.py composes them, so this row and not the mean-shift one is what the campaign surfaces cite",ENVELOPE
w24um,k3_error_forecast_kernel_err,1.09,per cent,"the exact row's own grid movement, which bounds this comparison",the two share the grid and differ only in the kernel,ENVELOPE
w24um,k3_grid_movement_fixed,1.86,per cent,"the same bar applied to the fixed-kernel row, halving the axial axis","the bar binds both rows, since the comparison between them is only as converged as the looser of the two",DIAGNOSTIC
w24um,k3_grid_movement,1.09,per cent,the worst of halving the shift axis and the axial axis separately,"the bar is five per cent. Above it the row reports this construction's numerical floor and not the physics, which is the case wherever the ramp's own third cumulant is small",DIAGNOSTIC
w24um,pull_grid_movement,0.003,per cent,the same for the centroid pull,"the pull converges three orders faster than the cumulant, which is why it is quotable at every waist and the cumulant is not",DIAGNOSTIC
w24um,centroid_pull_error_err,0.003,per cent,"the pull's grid movement, which bounds the comparison above","the difference between two models is only as sharp as either is converged, and the pull converges three orders faster than the cumulant",ENVELOPE
w24um,k3_error_err,0.94,per cent,half-span of the same ratio with the companion scaled three ways,the grid movement is carried separately and is the smaller axis. Blank where the comparison is refused,ENVELOPE
w24um,k3_exact,-0.795232,MHz^3,"windowed third cumulant at a 8.0 MHz half-width, exact mixture",the novelty channel's own observable,CALIB
w24um,k3_fixed_kernel,-0.0282137,MHz^3,the same under the fixed kernel,the approximation,CALIB
w24um,k3_error,96.452,per cent,the fixed kernel against the exact mixture,what the convolution assumption costs the moment channel,ENVELOPE
w16um,on_axis_shift_err,0.6407,MHz,"the waist band paired with the retro-ratio error, the record's convention","the shift goes as the inverse waist squared and as one plus the retro ratio, so the widest credible interval pairs the tight waist with the high ratio",ENVELOPE
w16um,homogeneous_width_span_err,2.997,dimensionless,the span re-evaluated with the saturation companion scaled by three each way,"the companion rests on the two-level saturation law with a two-photon Rabi frequency, which the record carries as standard practice and not as a derivation for this level structure, so its magnitude is the span's uncertainty. The STRUCTURE does not depend on it: whatever the size, it is a function of the local shift",ENVELOPE
w16um,transit_span_err,2.147,dimensionless,the span re-evaluated over the collected window's own 0.26 +- 0.14 band,"the window is 54 per cent uncertain and the span follows it directly, since the beam radius at the window EDGE is what sets the narrowest kernel and so the denominator of this ratio",ENVELOPE
w16um,on_axis_shift,5.8255,MHz,stark_shift_S0_mhz at 225 mW and the adopted retro ratio,"the ramp's upper end, and the companion's argument on axis",CALIB
w16um,homogeneous_width_span,3.247,dimensionless,the homogeneous Lorentzian on axis over the same at the beam edge,"the saturation companion is keyed on the LOCAL shift, so the homogeneous width is a function of the ramp's own variable and the two cannot be separated into a kernel and a distribution",CALIB
w16um,transit_span,4.280,dimensionless,the transit width AT THE WAIST over the same at the window edge,"transit_fwhm_from_w0 goes as one over the local beam radius, so the kernel is WIDEST where the beam is narrowest, at the waist. The first draft of this row said the opposite in both its basis and its error note, which inverted the mechanism the producer rests on: the broad elements are the shifted ones, and they are the same elements for both kernels",CALIB
w16um,centroid_pull_exact_err,0.00006,MHz,the pull's movement between the full grid and half of it,"a model output's uncertainty here is numerical, and the grid is what bounds it",ENVELOPE
w16um,centroid_pull_fixed_kernel_err,0.00006,MHz,"the same grid movement, which bounds both models equally",the two differ only in the kernel and share the grid,ENVELOPE
w16um,k3_exact_err,0.0906934,MHz^3,half-span with the saturation companion scaled by three each way,the dominant axis by three orders over the grid. The k3_grid_movement row carries that separately,ENVELOPE
w16um,k3_fixed_kernel_err,0.00402466,MHz^3,the fixed row's own axial-grid movement,"its own, not the exact row's copied across. The first draft copied one number to both and it exceeded the fixed row's real movement by a factor of seventeen",ENVELOPE
w16um,centroid_pull_exact,-1.80429,MHz,first moment of the element-by-element mixture,every element carries its own kernel,CALIB
w16um,centroid_pull_fixed_kernel,-1.80428,MHz,first moment with the kernel held at the weighted mean,the approximation the shipped mixture makes,CALIB
w16um,centroid_pull_error,0.000,per cent,the fixed kernel against the exact mixture,"what the convolution assumption costs the centroid, which is not the channel the campaign reads: see fitted_centre_error",ENVELOPE
w16um,fitted_centre_exact,-1.10310,MHz,fit_condition with s0 zero on the element-by-element mixture,"the estimator run_three_channel_forecast inverts, and not the first moment",CALIB
w16um,fitted_centre_fixed_kernel,-1.73155,MHz,the same estimator on the fixed-kernel mixture,the two differ only in the kernel,CALIB
w16um,fitted_centre_error,-56.972,per cent,"the fixed kernel against the exact mixture, through the fitter","the centroid's immunity does not transfer. The first moment of a mixture of symmetric kernels is the density's own mean, exactly, so centroid_pull_error is zero at every waist. A least-squares fit with one width follows the mode, which the narrow unshifted elements set, and the broad elements are the shifted ones",ENVELOPE
w16um,fitted_centre_error_err,0.003,per cent,"the exact row's own grid movement, which bounds this comparison",the two profiles share the grid and differ only in the kernel,ENVELOPE
w16um,fitted_centre_exact_err,0.00006,MHz,the grid movement that bounds every row of this construction,a model output's uncertainty here is numerical,ENVELOPE
w16um,fitted_centre_fixed_kernel_err,0.00006,MHz,"the same grid movement, which bounds both models equally",the two differ only in the kernel and share the grid,ENVELOPE
w16um,k3_error_forecast_kernel,95.350,per cent,the forecast's own single kernel against the exact mixture,"the companion at the on-axis shift and the transit at the waist, as rb5s6s/forecast.py composes them, so this row and not the mean-shift one is what the campaign surfaces cite",ENVELOPE
w16um,k3_error_forecast_kernel_err,0.31,per cent,"the exact row's own grid movement, which bounds this comparison",the two share the grid and differ only in the kernel,ENVELOPE
w16um,k3_grid_movement_fixed,0.42,per cent,"the same bar applied to the fixed-kernel row, halving the axial axis","the bar binds both rows, since the comparison between them is only as converged as the looser of the two",DIAGNOSTIC
w16um,k3_grid_movement,0.31,per cent,the worst of halving the shift axis and the axial axis separately,"the bar is five per cent. Above it the row reports this construction's numerical floor and not the physics, which is the case wherever the ramp's own third cumulant is small",DIAGNOSTIC
w16um,pull_grid_movement,0.003,per cent,the same for the centroid pull,"the pull converges three orders faster than the cumulant, which is why it is quotable at every waist and the cumulant is not",DIAGNOSTIC
w16um,centroid_pull_error_err,0.003,per cent,"the pull's grid movement, which bounds the comparison above","the difference between two models is only as sharp as either is converged, and the pull converges three orders faster than the cumulant",ENVELOPE
w16um,k3_error_err,0.13,per cent,half-span of the same ratio with the companion scaled three ways,the grid movement is carried separately and is the smaller axis. Blank where the comparison is refused,ENVELOPE
w16um,k3_exact,-9.22305,MHz^3,"windowed third cumulant at a 12.0 MHz half-width, exact mixture",the novelty channel's own observable,CALIB
w16um,k3_fixed_kernel,-0.949851,MHz^3,the same under the fixed kernel,the approximation,CALIB
w16um,k3_error,89.701,per cent,the fixed kernel against the exact mixture,what the convolution assumption costs the moment channel,ENVELOPE
