quantity,key,value,err,unit,status
gamma_coll_post_130C,4192,0.461,,"MHz; the same posterior expressed as a collisional width at 130 C, comparable with M23's row",PRELIM
reh_rate,4192,0.01252,,"MHz per ms, transition; fitted rehearsal scan rate",CALIB
beta_self_post,4207,0.01897,1.19,MHz per 1e12 cm^-3; posterior under the four-point prior 0.01792+/-0.00088 (err column: the tension in prior sigmas),PRELIM
gamma_coll_post_130C,4207,0.558,,"MHz; the same posterior expressed as a collisional width at 130 C, comparable with M23's row",PRELIM
reh_rate,4207,0.01204,,"MHz per ms, transition; fitted rehearsal scan rate",CALIB
sigma_laser_s,camp70,2.031,,"MHz, transition axis; session-block population mean",PRELIM
sigma_laser_s,camp90,2.198,,"MHz, transition axis; session-block population mean",PRELIM
sigma_laser_s,camp110,2.102,,"MHz, transition axis; session-block population mean",PRELIM
sigma_laser_s,camp130,1.782,,"MHz, transition axis; session-block population mean",PRELIM
sigma_laser_s,reh,2.417,,"MHz, transition axis; session-block population mean",PRELIM
sigma_laser_s,pil,1.417,,"MHz, transition axis; session-block population mean",PRELIM
sigma_laser_sp,camp110_4121,2.093,-0.009,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp110 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp110_4154,1.964,-0.138,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp110 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp110_4192,2.134,+0.031,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp110 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp110_4207,2.219,+0.116,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp110 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp130_4121,1.759,-0.023,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp130 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp130_4154,1.704,-0.078,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp130 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp130_4192,1.844,+0.062,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp130 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp130_4207,1.821,+0.039,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp130 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp70_4121,2.069,+0.038,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp70 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp70_4154,1.901,-0.130,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp70 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp70_4192,2.079,+0.048,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp70 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp70_4207,2.075,+0.044,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp70 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp90_4121,2.302,+0.104,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp90 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp90_4154,2.219,+0.021,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp90 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp90_4192,2.288,+0.089,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp90 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,camp90_4207,1.984,-0.214,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the camp90 mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,pil_4192,1.417,-0.000,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the pil mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,reh_4121,2.747,+0.331,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the reh mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,reh_4154,3.068,+0.651,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the reh mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,reh_4192,2.222,-0.194,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the reh mean (err column: the deviation from it)",PRELIM
sigma_laser_sp,reh_4207,1.630,-0.787,"MHz, transition axis; per-(block, peak) sigma_laser under a 150 kHz shrinkage prior toward the reh mean (err column: the deviation from it)",PRELIM
Vsat_agilent,nuisance,403.4,,"V; detector saturation, campaign and pilot -- large = linear",DIAGNOSTIC
Vsat_lecroy,nuisance,403.4,,"V; detector saturation, rehearsal",DIAGNOSTIC
pilot_rate_scale,nuisance,0.9992,,"pilot axis = campaign 4192 bracket rate x this factor, box = measured M26 value +/- 5 sigma",CALIB
n_traces,camp_p/camp_t/reh/pil,100/59/46/26,,296949 points; canonical p_sweep / canonical t_sweep / usable rehearsal (4 files corrupt or lineless) / pilot morning sweep. Rulers excluded (addendum 22),DIAGNOSTIC
qc_gate_a1_examined,count,3,,"canonical RF-off traces carrying a hard QC flag, each re-checked on its own fit window: p_sweep/4207nm_025mw2.csv: admitted, second structure outside the window (n_major=1); p_sweep/4207nm_025mw3.csv: admitted, second structure outside the window (n_major=1); p_sweep/4207nm_025mw5.csv: admitted, second structure outside the window (n_major=1)",DIAGNOSTIC
qc_gate_a2_dropped,count,0,,condition groups dropped for fewer than 3 admitted repeats,DIAGNOSTIC
railed_expected,nuisance,2,,"shared parameters railed where railing is the EXPECTED answer rather than a fault (a saturation ceiling means the detector ran linear): Vsat_agilent=6 at its hi bound, Vsat_lecroy=6 at its hi bound",DIAGNOSTIC
railed_flagged,nuisance,0,,"shared nuisances railed, reported and not stopped: none",DIAGNOSTIC
gate_B1_census,PASS,231,exactly 231,STOP CLASS. trace count entering the fit; a silent loader change is what this catches,DIAGNOSTIC
gate_B2_chi2_per_point,PASS,0.667465,"[0.3, 3.0]",chi2 at the profile minimum per fitted point,DIAGNOSTIC
gate_B3_railed_physics,PASS,0,zero,"STOP CLASS. beta_self, sigma_laser or rehearsal-rate parameters on a bound: none",DIAGNOSTIC
gate_B4_prior_tension,FAIL,3.76984,< 3.0 sigma,largest |posterior - prior| / prior error over the four peaks,DIAGNOSTIC
gate_B5_ub95_in_grid,PASS,0.942516,finite,"STOP CLASS. the 95% crossing must exist inside the kappa grid, not beyond it",DIAGNOSTIC
gate_B6_basin_gap,PASS,0.782172,<= 1000.0,"best cold chain minus best seeded chain; the pointwise minimum keeps the profile safe either way, so this is a flag and not a stop",DIAGNOSTIC
gate_B7_direction_delta,PASS,8.66051,< 1000.0,"max |chi2 difference| between rehearsal axis directions; thousands means a parked chain, not a physical preference",DIAGNOSTIC
gate_B8_dchi2_kappa0,PASS,0,< 9.0,"above this the profile prefers a positive shift at better than 3 sigma, which is a detection claim and needs a decision",DIAGNOSTIC
profile_point,0.00,198202.95,43303.99,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,0.25,198203.11,43302.84,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,0.50,198203.68,43304.98,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,0.75,198204.57,43306.00,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,1.00,198205.98,43307.34,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,1.50,198210.25,43309.81,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,1.54,198210.72,43312.68,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,2.00,198216.55,43311.30,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,2.62,198228.70,43321.50,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,3.50,198255.77,43338.22,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point,5.00,198346.19,43386.70,"chi2 total (value) and campaign-only (err column), primary settings",DIAGNOSTIC
profile_point_pladder,0.00,31345.04,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,0.25,31344.04,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,0.50,31345.97,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,0.75,31346.96,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,1.00,31348.28,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,1.50,31350.86,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,1.54,31353.45,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,2.00,31352.75,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,2.62,31362.70,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,3.50,31379.36,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
profile_point_pladder,5.00,31426.85,,chi2 of the campaign power-ladder rows alone at the same primary settings,DIAGNOSTIC
