quantity,key,value,err,unit,note,status
tau_resid_err,4121_130C_125mW,0.0684,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4121_130C_175mW,1.0741,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4121_130C_175mW,0.0873,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4121_130C_225mW,1.0270,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4121_130C_225mW,0.0969,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4121_130C_25mW,1.7484,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4121_130C_25mW,0.2527,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4121_130C_75mW,1.2994,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4121_130C_75mW,0.0896,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4121_70C_225mW,1.5343,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4121_70C_225mW,0.1353,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4121_90C_225mW,1.1112,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4121_90C_225mW,0.0872,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4154_110C_225mW,0.9503,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4154_110C_225mW,0.0917,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4154_130C_125mW,1.0972,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4154_130C_125mW,0.0886,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4154_130C_175mW,1.0849,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4154_130C_175mW,0.1090,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4154_130C_225mW,0.9779,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4154_130C_225mW,0.0691,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4154_130C_25mW,1.2299,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4154_130C_25mW,0.1081,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4154_130C_75mW,1.1682,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4154_130C_75mW,0.1161,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4154_70C_225mW,1.2929,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4154_70C_225mW,0.1194,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4154_90C_225mW,1.0155,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4154_90C_225mW,0.0871,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4192_110C_225mW,0.9688,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4192_110C_225mW,0.0724,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4192_130C_125mW,1.1105,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4192_130C_125mW,0.0928,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4192_130C_175mW,0.9730,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4192_130C_175mW,0.1132,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4192_130C_225mW,0.9188,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid_err,4192_130C_225mW,0.0593,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
tau_resid,4192_130C_25mW,1.3358,,,"the twin draws independent Gaussian samples and the archive does not. This arm takes the noise from the archive itself, resampled in moving blocks rather than modelled, so the distribution's SHAPE comes along instead of being assumed. The rungs are climbed on a Student-t pool whose excess kurtosis is 0.82 by construction, which is the archive's own measured median, and they establish that a block bootstrap carries about 0.90 of the spread a fresh draw from the same law gives -- so every ratio here is a LOWER bound by about a tenth. Per condition the archive gives a median 3797 wing residuals, under the 20000 the rungs set as the floor, so the residuals are normalised by each condition's own sigma and pooled",MEASURED
