lever,quantity,value,unit,basis,note,status
distance_scan,sigma_diameter_nm,30.7,nm,sigma_lambda_frac carried through dLambda/dd,"the quantity the campaign wants, and this row has moved four times in one day. It is now MARGINALISED over the drive's own surface shift, which the scan cannot know a priori and which the power sweep measures: amplitude against decay length is the classic degeneracy of a five-rung near-exponential scan, and fixing the amplitude made the lever look about twice as good as it is. Quoted at the 2025 drifting lock, which is the pessimistic end. The `lock_span_*` rows carry it down to under a nanometre at the photon floor. A joint fit with the power sweep would narrow it, but that prior is NOT independent, since converting sigma_kappa to the surface divides by a stark fraction that depends on the diameter being fitted. SEM and the 480 nm mode-cutoff diagnostic stay as independent cross-checks",ENVELOPE
lock_span_0.04,sigma_diameter_nm,30.73,nm,the distance scan at 0.04 MHz per minute of residual drift,"the 2025 archive rate is the first entry and the photon floor the last. The repaired lock's residual is unmeasured, so the campaign sits somewhere inside this span and not at either end",ENVELOPE
lock_span_0.04,sigma_kappa_frac,0.1132,fraction,the power sweep at 0.04 MHz per minute of residual drift,"same span, same reason. Read the lever ranking across it rather than at the 2025 point",ENVELOPE
lock_span_0.01,sigma_diameter_nm,7.72,nm,the distance scan at 0.01 MHz per minute of residual drift,"the 2025 archive rate is the first entry and the photon floor the last. The repaired lock's residual is unmeasured, so the campaign sits somewhere inside this span and not at either end",ENVELOPE
lock_span_0.01,sigma_kappa_frac,0.0291,fraction,the power sweep at 0.01 MHz per minute of residual drift,"same span, same reason. Read the lever ranking across it rather than at the 2025 point",ENVELOPE
lock_span_0.004,sigma_diameter_nm,3.18,nm,the distance scan at 0.004 MHz per minute of residual drift,"the 2025 archive rate is the first entry and the photon floor the last. The repaired lock's residual is unmeasured, so the campaign sits somewhere inside this span and not at either end",ENVELOPE
lock_span_0.004,sigma_kappa_frac,0.0127,fraction,the power sweep at 0.004 MHz per minute of residual drift,"same span, same reason. Read the lever ranking across it rather than at the 2025 point",ENVELOPE
lock_span_0.001,sigma_diameter_nm,1.08,nm,the distance scan at 0.001 MHz per minute of residual drift,"the 2025 archive rate is the first entry and the photon floor the last. The repaired lock's residual is unmeasured, so the campaign sits somewhere inside this span and not at either end",ENVELOPE
lock_span_0.001,sigma_kappa_frac,0.0046,fraction,the power sweep at 0.001 MHz per minute of residual drift,"same span, same reason. Read the lever ranking across it rather than at the 2025 point",ENVELOPE
lock_span_0.0,sigma_diameter_nm,0.67,nm,the distance scan at 0.0 MHz per minute of residual drift,"the 2025 archive rate is the first entry and the photon floor the last. The repaired lock's residual is unmeasured, so the campaign sits somewhere inside this span and not at either end",ENVELOPE
lock_span_0.0,sigma_kappa_frac,0.0023,fraction,the power sweep at 0.0 MHz per minute of residual drift,"same span, same reason. Read the lever ranking across it rather than at the 2025 point",ENVELOPE
distance_scan,hours,0.23,hours,5 rungs at 2.78 min per trace,"one trace per rung, and the trap must settle between rungs, which is NOT costed here",ENVELOPE
lock_requirement_40kHz,surface_shift_significance_at_400nm_band,0 to 1,sigma,lock at 40 kHz per min,"Casimir-Polder at the trap distance raj2026 already runs, over the recovered surface-shift uncertainty. Below about 4 kHz per min the measurement is available WITHOUT moving atoms closer to the glass, which is the gentler configuration for the fibre",ENVELOPE
lock_requirement_10kHz,surface_shift_significance_at_400nm_band,1 to 4,sigma,lock at 10 kHz per min,"Casimir-Polder at the trap distance raj2026 already runs, over the recovered surface-shift uncertainty. Below about 4 kHz per min the measurement is available WITHOUT moving atoms closer to the glass, which is the gentler configuration for the fibre",ENVELOPE
lock_requirement_4kHz,surface_shift_significance_at_400nm_band,4 to 9,sigma,lock at 4 kHz per min,"Casimir-Polder at the trap distance raj2026 already runs, over the recovered surface-shift uncertainty. Below about 4 kHz per min the measurement is available WITHOUT moving atoms closer to the glass, which is the gentler configuration for the fibre",ENVELOPE
lock_requirement_1kHz,surface_shift_significance_at_400nm_band,14 to 35,sigma,lock at 1 kHz per min,"Casimir-Polder at the trap distance raj2026 already runs, over the recovered surface-shift uncertainty. Below about 4 kHz per min the measurement is available WITHOUT moving atoms closer to the glass, which is the gentler configuration for the fibre",ENVELOPE
lock_requirement_0kHz,surface_shift_significance_at_400nm_band,50 to 126,sigma,lock at 0 kHz per min,"Casimir-Polder at the trap distance raj2026 already runs, over the recovered surface-shift uncertainty. Below about 4 kHz per min the measurement is available WITHOUT moving atoms closer to the glass, which is the gentler configuration for the fibre",ENVELOPE
