rung,quantity,value,unit,basis,note,status
6S,static_scalar_polarizability_upper_err,21,a.u.,the paper's own parenthesised uncertainty,"0.2 to 5 per cent depending on the state, the nd rows being the loosest",DIAGNOSTIC
6S,intermediate_detuning_5p12,2512.7,cm-1,the 5P1/2 term energy minus half this rung's own,negative where the virtual level sits ABOVE the real state,CALIB
6S,intermediate_detuning_5p12_err,0.005066,cm-1,"half the term energy's error, the 5P level being held exactly",the nP ladder is this package's own and carries no stated error on its positions,DIAGNOSTIC
6S,intermediate_detuning_5p32,2750.3,cm-1,the same against 5P3/2,the nearer of the two on every rung above 5D,CALIB
6S,intermediate_detuning_5p32_err,0.005066,cm-1,"half the term energy's error, as the row above",the same nP ladder and the same silence about its own error,DIAGNOSTIC
6S,five_p_enhancement_relative_to_6s,1.000,dimensionless,"the 5S half of the two-photon matrix element, normalised on the 6S rung","RELATIVE ONLY, and the upper-state element is held COMMON here BY CHOICE so the row ranks the intermediate resonance alone. It is not a transition rate and it is not the ceiling's element: two_photon_element_relative_to_6s carries both halves where this package holds them",DIAGNOSTIC
6S,alpha_5s_at_the_drive,832.41,a.u.,rb5s6s.polarizability.alpha_5s at this rung's drive wavelength,the half of the differential polarizability this package holds for every rung,CALIB
6S,alpha_5s_at_the_drive_err,0.9511,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"the matrix elements, cores and tails drawn from their own quoted sigmas. Near a pole the band is asymmetric and the half-span understates the far side",DIAGNOSTIC
6S,differential_polarizability,-1144.62,a.u.,"alpha(upper) minus alpha(5S), this package's own sum over states",the 993 nm sign is under dispute and the magnitude is what every bound reads,CALIB
6S,differential_polarizability_err,5.62,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,both sides of the difference drawn from their own quoted sigmas,DIAGNOSTIC
6S,on_axis_shift_per_watt,1.62,MHz per W,at this rung's OWN achievable waist and the retro ratio of record,"the waist is not common across rungs (A136), so this is not the polarizability ratio",CALIB
6S,on_axis_shift_per_watt_err,0.1555,MHz per W,"the polarizability, two powers of the waist and the retro ratio, in quadrature","the waist term dominates on every rung away from 993 nm, which is the finding this producer exists for",DIAGNOSTIC
6S,two_photon_element_relative_to_6s,1.0000,dimensionless,"both halves summed over the nP this package holds, on 6S","the element the ceiling divides by. The 5S-half row above ranks the intermediate resonance alone and reads higher on every rung whose upper element is the smaller half, the upper element being what that row holds common. This note carried the 7S numbers as literals until 2026-09-10 and was emitted on every rung, so the 6S row said 6.27 against 1.41 where both of its own cells read one",DIAGNOSTIC
6S,two_photon_element_relative_to_6s_err,0,dimensionless,"drawn from the held reduced-element sigmas on both halves, twenty thousand draws, seeded","1.69 per cent on the 7S rung. The elements are summed UNSIGNED here and the nP terms above 5P carry the opposite sign to the 5P ones, about four per cent of each element, which is a systematic this row does NOT carry",DIAGNOSTIC
6S,natural_width_relative_to_6s,1.0000,dimensionless,"the rung's own natural width over the 6S rung's, from the held lifetimes","enters all three ceiling rows below. Held common at one until 2026-09-10, which is what made the third of them an identity",CALIB
6S,natural_width_relative_to_6s_err,0,dimensionless,"the two held lifetimes' own sigmas in quadrature, 45.57(17) and 88.07(40) ns","0.59 per cent on the 7S rung. The ELEMENT ratio beside it carries 1.69 per cent from the held reduced-element sigmas, drawn rather than linearised, and the two together set the ceiling rows' own errors",DIAGNOSTIC
6S,saturation_shift_ceiling_relative,1.0000,dimensionless,"Delta-alpha times the natural width over the matrix element, against the 6S rung","the shift at which the two-photon Rabi frequency reaches a fixed fraction of the natural width. BELOW ONE MEANS THIS RUNG SATURATES EARLIER, which is the opposite of what a larger coefficient suggests on its own",DIAGNOSTIC
6S,saturation_shift_ceiling_relative_err,0,dimensionless,"the width and element sigmas in quadrature, relative",the differential polarizability's own uncertainty is NOT in this row: carrying it is owed,DIAGNOSTIC
6S,rate_at_a_fixed_shift_relative,1.0000,dimensionless,"the square of the matrix element over the coefficient, divided by the natural width, against 6S","the shot-noise gain this rung offers at the SAME on-axis shift, which is where the ladder pays. The row below evaluates the same rate at each rung's own ceiling instead",DIAGNOSTIC
6S,rate_at_a_fixed_shift_relative_err,0,dimensionless,"the width sigma and twice the element sigma, in quadrature","twice, because the rate carries the element squared. The differential polarizability's own uncertainty is owed here too",DIAGNOSTIC
6S,rate_at_its_own_ceiling_relative,1.0000,dimensionless,"the same rate evaluated at each rung's own saturation ceiling, which reduces to the natural width ratio","THIS ROW HAS BEEN READ THREE WAYS IN TWO DAYS and this is the first reading with the width in it. At the ceiling Omega = f Gamma, so the rate is f^2 Gamma and the ratio is the width ratio alone: every other factor cancels. It was published as one, first as the result and then as an algebraic identity, and both readings were artefacts of holding the width common. The ladder does NOT deliver the same signal at each rung's own saturation ceiling: a longer-lived upper state delivers less",DIAGNOSTIC
6S,rate_at_its_own_ceiling_relative_err,0,dimensionless,"the width ratio's own sigma, since the row reduces to it","every other factor cancels exactly, so this row's error is the two lifetimes' and nothing else",DIAGNOSTIC
6S,nearest_np_gap,2.79,um,"the nearest nP level of the held ladder, as a wavelength",what couples the upper state to the cell's own thermal field,CALIB
6S,nearest_np_gap_err,7.895e-06,um,"the term energy's error over the gap, the nP level being exact here","it is large where the gap is small, which is the high rungs",DIAGNOSTIC
6S,thermal_occupation_at_that_gap,2.801e-06,dimensionless,"1/(exp(hv/kT) - 1) at 130 C, hv/kT = 12.79",above about a per cent the thermal field moves population out of the upper state at a fair fraction of its own decay rate,CALIB
6S,thermal_occupation_at_that_gap_err,1.013e-10,dimensionless,"the occupation's own derivative in the gap, times the gap's error",the cell temperature dominates this in practice and is not in this row: ten kelvin moves the occupation by about a fifth at the high rungs,DIAGNOSTIC
6S,detection_arm,"795 nm, 5P1/2 to 5S, the arm the bench already has",,the cascade this rung emits on,the 993 nm rung is the only one the bench's installed 795 nm filter already serves. A cascade identification is not a measured value,DIAGNOSTIC
5D,term_energy,25703.498,cm-1,"held exactly (NIST, rb5s6s.polarizability.E_5D52_CM)",above the 5S1/2 ground state,CALIB
5D,drive_wavelength,778.104,nm,"two-photon, 2e7 divided by the term energy in cm-1",inside the 650 to 1050 nm band this producer covers,CALIB
5D,term_energy_err,0.01652,cm-1,"the two-fit spread on an extrapolated rung, a bound on the NIST precision on a held one","the held rows carry 0.01 cm-1, which is conservative for levels this low and is NOT a value this repository holds",DIAGNOSTIC
5D,drive_wavelength_err,0.0005,nm,"the two-fit spread and the Ritz form's own measured extrapolation error, in quadrature","on an S rung the form error comes from fitting two adjacent nP states and predicting the next two, the same lever arm. The D series cannot be tested that way here, having two anchors, so an extrapolated D rung carries the independent miss instead: E(5P3/2) plus the 5P3/2 to nD line puts 6D 0.35 nm from this ladder. Those two line wavelengths are NOT held here and the rung is owed a NIST lookup. The 4D row carries its doublet, this record not having checked the 4D J labels",DIAGNOSTIC
5D,waist_aperture_limited,49.775,um,rb5s6s.constants.waist_at_drive through the f = 150 mm singlet,"the input beam held common to every drive, which is what a hard stop at the EOM gives",CALIB
5D,waist_aperture_limited_err,3.987,um,"the input-beam regime's half-span and the reference waist's own measured band, in quadrature","the regime term is zero at the reference wavelength and dominates everywhere else, which is the point: the record does not pin the input beam (A136) and the measurement it does hold was taken at one wavelength",DIAGNOSTIC
5D,waist_resonator_mode,56.242,um,the same with the input radius going as the root of the wavelength,"the unclipped alternative. The pair brackets the regime the record does not pin (A136), and the transit ratio between rungs measures which one the bench is in",CALIB
5D,waist_resonator_mode_err,3.987,um,"the same combination, the two regimes being the ends of one band",the pair share the interval and its half-width,DIAGNOSTIC
5D,rayleigh_range,10.003,mm,"pi w0^2 over the drive wavelength, at the aperture-limited waist",it falls with the drive because the waist does,CALIB
5D,rayleigh_range_err,1.603,mm,"two powers of the waist and one of the wavelength, in quadrature",the waist term dominates by three orders,DIAGNOSTIC
5D,collection_z_ratio,0.3374,dimensionless,the bench's own collection half-length over this rung's Rayleigh range,"THE COLLECTION OPTICS ARE NOT RETUNED BY CHANGING THE DRIVE, so the half-length is the 993 nm one and only the Rayleigh range moves. The windowed third cumulant passes through zero near 1.117 and reverses beyond it",CALIB
5D,collection_z_ratio_err,0.05405,dimensionless,the inverse Rayleigh range's own relative error,"the collection half-length is held fixed by the optics, so it contributes nothing here and its own error is chapter 12's item",DIAGNOSTIC
5D,k3_sign_reversed_by_the_window,no,boolean,z_ratio against the null of the axial window,"a rung past the null reports the third cumulant with the wrong sign unless the collection window is shortened. A boolean carries no uncertainty of its own and the ratio it reads is the row above, whose error is emitted there",DIAGNOSTIC
5D,kernel_width_spread_across_the_ramp,1.055,dimensionless,"sqrt(1 + z_ratio^2), the transit width's span over the collected volume","derived in A138: at shift u the contributing slices reach sqrt(min(1+z_ratio^2, s0/u)). It is the input to the covariance that sets the third cumulant's contamination",CALIB
5D,kernel_width_spread_across_the_ramp_err,0.01728,dimensionless,the collection ratio's error carried through sqrt(1 + r^2),"it vanishes as the ratio does, which is why the wide-waist rungs carry almost none of it",DIAGNOSTIC
5D,transit_fwhm,1.2311,MHz,"ln2 v_th / (pi w0) at 130 C, aperture-limited waist","the width that carries the geometry to the FIRST power, which is how a two-drive campaign measures the input-beam regime",CALIB
5D,transit_fwhm_err,0.09861,MHz,one inverse power of the waist,the cell temperature is held at its set point here and its own spread is a separate axis,DIAGNOSTIC
5D,doppler_pedestal_fwhm,1202.59,MHz,"the co-propagating component's Doppler width at 130 C, 85Rb","linear in the term energy, so the shorter drives carry the wider pedestal and the narrow line sits on a flatter background",CALIB
5D,doppler_pedestal_fwhm_err,0.0007728,MHz,"linear in the term energy, so the energy's error carries straight",the temperature's own error is not in this row and would dominate it: a one kelvin drift moves the width by about a tenth of a per cent,DIAGNOSTIC
5D,static_scalar_polarizability_upper,17500,a.u.,"Safronova and Safronova 2011 Table VI, the held PDF","STATIC. Equation 8 of that paper carries no frequency, so this is NOT the differential the light shift reads at this rung's drive: at 688.6 nm the 8S to 5P denominator is -16467 cm-1 against a photon of 14523. It ranks the rungs and it closes the dynamic sum at zero frequency",CALIB
5D,static_scalar_polarizability_upper_err,150,a.u.,the paper's own parenthesised uncertainty,"0.2 to 5 per cent depending on the state, the nd rows being the loosest",DIAGNOSTIC
5D,intermediate_detuning_5p12,-272.8,cm-1,the 5P1/2 term energy minus half this rung's own,negative where the virtual level sits ABOVE the real state,CALIB
5D,intermediate_detuning_5p12_err,0.008258,cm-1,"half the term energy's error, the 5P level being held exactly",the nP ladder is this package's own and carries no stated error on its positions,DIAGNOSTIC
5D,intermediate_detuning_5p32,-35.2,cm-1,the same against 5P3/2,the nearer of the two on every rung above 5D,CALIB
5D,intermediate_detuning_5p32_err,0.008258,cm-1,"half the term energy's error, as the row above",the same nP ladder and the same silence about its own error,DIAGNOSTIC
5D,five_p_enhancement_relative_to_6s,46.772,dimensionless,"the 5S half of the two-photon matrix element, normalised on the 6S rung","RELATIVE ONLY, and the upper-state element is held COMMON here BY CHOICE so the row ranks the intermediate resonance alone. It is not a transition rate and it is not the ceiling's element: two_photon_element_relative_to_6s carries both halves where this package holds them",DIAGNOSTIC
5D,alpha_5s_at_the_drive,-39445.36,a.u.,rb5s6s.polarizability.alpha_5s at this rung's drive wavelength,the half of the differential polarizability this package holds for every rung,CALIB
5D,alpha_5s_at_the_drive_err,58.41,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"the matrix elements, cores and tails drawn from their own quoted sigmas. Near a pole the band is asymmetric and the half-span understates the far side",DIAGNOSTIC
5D,differential_polarizability,28648.70,a.u.,"the Hamilton-anchored construction of rb5s6s.polarizability.delta_alpha_5d, scalar only and an envelope, not a sum over states",the 993 nm sign is under dispute and the magnitude is what every bound reads,ENVELOPE
5D,differential_polarizability_err,58.41,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"ONLY the 5S side is drawn: mc_band samples the 5S and 6S ladders and this package states no sigmas for the 7S elements, so this is a LOWER BOUND on the true error and not the error",DIAGNOSTIC
5D,on_axis_shift_per_watt,66.94,MHz per W,at this rung's OWN achievable waist and the retro ratio of record,"the waist is not common across rungs (A136), so this is not the polarizability ratio",CALIB
5D,on_axis_shift_per_watt_err,10.81,MHz per W,"the polarizability, two powers of the waist and the retro ratio, in quadrature","the waist term dominates on every rung away from 993 nm, which is the finding this producer exists for",DIAGNOSTIC
5D,saturation_shift_ceiling_relative,,dimensionless,"needs the two-photon matrix element: this package holds no upper-state line list for this rung, and the differential polarizability above is present",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
5D,rate_at_a_fixed_shift_relative,,dimensionless,"needs the two-photon matrix element: this package holds no upper-state line list for this rung, and the differential polarizability above is present",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
5D,rate_at_its_own_ceiling_relative,,dimensionless,"needs the two-photon matrix element: this package holds no upper-state line list for this rung, and the differential polarizability above is present",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
5D,nearest_np_gap,5.23,um,"the nearest nP level of the held ladder, as a wavelength",what couples the upper state to the cell's own thermal field,CALIB
5D,nearest_np_gap_err,4.523e-05,um,"the term energy's error over the gap, the nP level being exact here","it is large where the gap is small, which is the high rungs",DIAGNOSTIC
5D,thermal_occupation_at_that_gap,1.093e-03,dimensionless,"1/(exp(hv/kT) - 1) at 130 C, hv/kT = 6.82",above about a per cent the thermal field moves population out of the upper state at a fair fraction of its own decay rate,CALIB
5D,thermal_occupation_at_that_gap_err,6.451e-08,dimensionless,"the occupation's own derivative in the gap, times the gap's error",the cell temperature dominates this in practice and is not in this row: ten kelvin moves the occupation by about a fifth at the high rungs,DIAGNOSTIC
5D,detection_arm,"420 nm, 6P to 5S",,the cascade this rung emits on,the 993 nm rung is the only one the bench's installed 795 nm filter already serves. A cascade identification is not a measured value,DIAGNOSTIC
7S,term_energy,26311.437,cm-1,"held exactly (NIST, rb5s6s.polarizability.E_7S_CM)",above the 5S1/2 ground state,CALIB
7S,drive_wavelength,760.126,nm,"two-photon, 2e7 divided by the term energy in cm-1",inside the 650 to 1050 nm band this producer covers,CALIB
7S,term_energy_err,0.01731,cm-1,"the two-fit spread on an extrapolated rung, a bound on the NIST precision on a held one","the held rows carry 0.01 cm-1, which is conservative for levels this low and is NOT a value this repository holds",DIAGNOSTIC
7S,drive_wavelength_err,0.0005,nm,"the two-fit spread and the Ritz form's own measured extrapolation error, in quadrature","on an S rung the form error comes from fitting two adjacent nP states and predicting the next two, the same lever arm. The D series cannot be tested that way here, having two anchors, so an extrapolated D rung carries the independent miss instead: E(5P3/2) plus the 5P3/2 to nD line puts 6D 0.35 nm from this ladder. Those two line wavelengths are NOT held here and the rung is owed a NIST lookup. The 4D row carries its doublet, this record not having checked the 4D J labels",DIAGNOSTIC
7S,waist_aperture_limited,48.589,um,rb5s6s.constants.waist_at_drive through the f = 150 mm singlet,"the input beam held common to every drive, which is what a hard stop at the EOM gives",CALIB
7S,waist_aperture_limited_err,4.158,um,"the input-beam regime's half-span and the reference waist's own measured band, in quadrature","the regime term is zero at the reference wavelength and dominates everywhere else, which is the point: the record does not pin the input beam (A136) and the measurement it does hold was taken at one wavelength",DIAGNOSTIC
7S,waist_resonator_mode,55.547,um,the same with the input radius going as the root of the wavelength,"the unclipped alternative. The pair brackets the regime the record does not pin (A136), and the transit ratio between rungs measures which one the bench is in",CALIB
